Date,forecast_volatility,realized_volatility
2022-01-03,0.8105721331517884,0.403710815882038
2022-01-04,0.7802007196803232,0.003966735500862189
2022-01-05,0.7197521548691374,3.835042408199375
2022-01-06,1.1222527305718193,0.009297467057029215
2022-01-07,1.0197528580493567,0.1647094401878986
2022-01-10,0.9522500854248505,0.020795674352389097
2022-01-11,0.8738977684653154,0.8314314782799676
2022-01-12,0.8756749619917574,0.07917425501803302
2022-01-13,0.8049136619782138,2.058085547942462
2022-01-14,0.9975552171766109,0.0067181672867249395
2022-01-19,0.9075621612496552,0.9480509783769892
2022-01-20,0.951335687138935,1.2318208073797492
2022-01-21,1.0145406134942818,3.6465703743849094
2022-01-24,1.2743306487230697,0.07661296750856418
2022-01-25,1.1531274618625595,1.4997898026753715
2022-01-26,1.1934995358728364,0.022432758090396344
2022-01-27,1.0848004322529325,0.2914526202235959
2022-01-28,1.0223716170444876,5.786895923147902
2022-01-31,1.3750236983039943,3.5005759729428068
2022-02-01,1.465524620043427,0.46779585758286985
2022-02-02,1.3446526278298925,0.8795439496911023
2022-02-03,1.2681607091507638,6.0976754559236275
2022-02-04,1.606825971230725,0.26457427892709956
2022-02-07,1.4564560524119383,0.13753572498250397
2022-02-08,1.3278887343210595,0.6999185453659413
2022-02-09,1.2418919292923503,2.0773001680183403
2022-02-10,1.2683559343998956,3.342251065024011
2022-02-11,1.422834982562763,3.667869478699468
2022-02-14,1.5568147986652143,0.14807032855406452
2022-02-15,1.4166319405336973,2.4472590178978053
2022-02-16,1.4307670430032926,0.007758433796397731
2022-02-17,1.2895830925809701,4.579815773150364
2022-02-18,1.522368745152342,0.5172431257451242
2022-02-23,1.4165040664862467,3.453552343807695
2022-02-24,1.5377588436653065,2.204068411749659
2022-02-25,1.5131416948763123,4.895634405610807
2022-02-28,1.6501530604163557,0.05980917604520504
2022-03-01,1.4914666569942645,2.4318742554765853
2022-03-02,1.527011898936751,3.4117956917297434
2022-03-03,1.575819514295137,0.2775731083254103
2022-03-04,1.4442070828147626,0.6345213023862548
2022-03-07,1.359010027964936,8.977566086113619
2022-03-08,1.8288993327415772,0.5270823852907228
2022-03-09,1.682179740274255,6.438194816638843
2022-03-10,1.855371046561171,0.1849903041645999
2022-03-11,1.6826653320850113,1.7020539400386003
2022-03-14,1.6333095721229605,0.5548276067881913
2022-03-15,1.5151858285221667,4.487038020302819
2022-03-16,1.6286511388342224,4.90043300067085
2022-03-17,1.7361453590424158,1.5060701724824979
2022-03-18,1.638548347256576,1.3443972124612127
2022-03-21,1.5468657093935283,0.0018901178333915296
2022-03-22,1.394453992473043,1.2635332646496258
2022-03-23,1.3365163646014884,1.524886691128319
2022-03-24,1.3403053156556812,2.0283491382977785
2022-03-25,1.3432892018027434,0.2553665654194809
2022-03-28,1.226013801928162,0.5068800672699884
2022-03-29,1.1412955152258932,1.4840219848825984
2022-03-30,1.1455580288696037,0.39861406049429743
2022-03-31,1.0856126464464122,2.488927531909453
2022-04-01,1.2278248331653938,0.11590082082847036
2022-04-04,1.1163375342479693,0.6493752903420382
2022-04-05,1.0592758589475777,1.595461795528504
2022-04-06,1.130703765061086,0.9534416963115149
2022-04-07,1.1270369421236457,0.18014638939314573
2022-04-08,1.03243513326907,0.07046618052687033
2022-04-11,0.9518196263217323,2.8972583104415723
2022-04-12,1.1698141196689131,0.11718986521803816
2022-04-13,1.0773217261830295,1.2348995141201535
2022-04-14,1.0746383333809257,1.4929126288216794
2022-04-19,1.1323261621019147,2.5376632571748208
2022-04-20,1.2178322441776643,0.003827481221392781
2022-04-21,1.1049712642266034,2.209044751391248
2022-04-22,1.2169358855742596,7.91413721302056
2022-04-25,1.6828297344032228,0.32282455152852424
2022-04-26,1.5286247095491388,8.151030098229965
2022-04-27,1.8899600447627583,0.043925831354456324
2022-04-28,1.6991347000503885,5.975900650427636
2022-04-29,1.844728553154963,13.659794919906322
2022-05-02,2.352706276588062,0.3202653664715488
2022-05-03,2.119663595549206,0.23285113193517723
2022-05-04,1.9108007528446613,8.658436636977795
2022-05-05,2.1253175227097034,13.177391916127323
2022-05-06,2.5166063731545263,0.3238047477855516
2022-05-09,2.2749813370889354,10.602525547279885
2022-05-10,2.519239511702872,0.06026444457588137
2022-05-11,2.2599200467640626,2.755677056310327
2022-05-12,2.1700508148095587,0.016817031927543993
2022-05-13,1.950617046647862,5.564535627409455
2022-05-16,2.0163778385768465,0.15635765001628657
2022-05-17,1.8240102487980794,3.987577492508995
2022-05-18,1.8414402624153314,17.002270286669624
2022-05-19,2.486039140800751,0.3423261864282286
2022-05-20,2.2507937237618236,0.00021354296046617653
2022-05-23,2.0220019310968143,3.380080563014534
2022-05-24,1.9724132931190952,0.6648691533761576
2022-05-25,1.8176786737290214,0.884800909764283
2022-05-26,1.676921524753175,3.8762388074753904
2022-05-27,1.7201378983642528,5.973688452491031
2022-06-01,1.8606749426099598,0.564136945372448
2022-06-02,1.71478378361257,3.335454025790102
2022-06-03,1.7209371586595343,2.716696946865473
2022-06-06,1.7276674874741558,0.09812489885196429
2022-06-07,1.5589183361980254,0.8983876862517987
2022-06-08,1.4544162177145106,1.1777942685169103
2022-06-09,1.4106779390926996,5.801574428553545
2022-06-10,1.6804633707372447,8.727542728893816
2022-06-13,2.0183639213800197,15.63406221777008
2022-06-14,2.541856591608975,0.14294585047728284
2022-06-15,2.290543035018158,2.098748737332173
2022-06-16,2.142407238686419,10.924483950962008
2022-06-17,2.436601201281825,0.048331707112034154
2022-06-22,2.1891308483251444,0.016962981047934207
2022-06-23,1.9704875393232064,0.9000454434621524
2022-06-24,1.8120286161682018,9.063435224286234
2022-06-27,2.073329386263255,0.08865505596976145
2022-06-28,1.8730843869584026,4.140684989449996
2022-06-29,1.9269232586298428,0.00506942319926683
2022-06-30,1.7361607577811513,0.7740245048898765
2022-07-01,1.6211958342465216,1.102187394456924
2022-07-06,1.5204813549458915,0.1272203160167422
2022-07-07,1.3760219868143644,2.2063309233571804
2022-07-08,1.3855455442941136,0.006899235975159713
2022-07-11,1.2535218506630865,1.3443052088670282
2022-07-12,1.2610412301432552,0.8624592648974326
2022-07-13,1.2260896896121658,0.19952874993427402
2022-07-14,1.134977133252027,0.09018842728737804
2022-07-15,1.0432931943281534,3.617311728847755
2022-07-18,1.2369207210819033,0.7053887534338755
2022-07-19,1.1924510663030325,7.427542239571307
2022-07-20,1.578224676800468,0.3455669101505424
2022-07-21,1.4406840083607406,0.9629627785267024
2022-07-22,1.3586355559935668,0.8791476341612351
2022-07-25,1.3089347025774134,0.01727392305640504
