Date,^FTSE_log_return,^GSPC_log_return,^N225_log_return,^STOXX50E_log_return
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-18,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-15,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-02,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,,,,
2010-05-17,,,,
2010-05-18,,,,
2010-05-19,,,,
2010-05-20,,,,
2010-05-21,,,,
2010-05-24,,,,
2010-05-25,,,,
2010-05-26,,,,
2010-05-27,,,,
2010-05-28,,,,
2010-05-31,,,,
2010-06-01,,,,
2010-06-02,,,,
2010-06-03,,,,
2010-06-04,,,,
2010-06-07,,,,
2010-06-08,,,,
2010-06-09,,,,
2010-06-10,,,,
2010-06-11,,,,
2010-06-14,,,,
2010-06-15,,,,
2010-06-16,,,,
2010-06-17,,,,
2010-06-18,,,,
2010-06-21,,,,
2010-06-22,,,,
2010-06-23,,,,
2010-06-24,,,,
2010-06-25,,,,
2010-06-28,,,,
2010-06-29,,,,
2010-06-30,,,,
2010-07-01,,,,
2010-07-02,,,,
2010-07-05,,,,
2010-07-06,,,,
2010-07-07,,,,
2010-07-08,0.19296572064587883,,,0.2738301129773089
2010-07-09,0.19303600337865168,,,0.27394842199533437
2010-07-12,0.1932752092582807,,,0.2739634944396794
2010-07-13,0.19538898984932426,0.20486439750326968,,0.2753142903337514
2010-07-14,0.19542693744527215,0.20480117358564337,,0.2752676913498119
2010-07-15,0.19573680598407234,0.20480993811896697,0.21912683885748824,0.27587516668108664
2010-07-16,0.1959909371666124,0.2086975988695699,0.2227027005112214,0.27707044016769095
2010-07-19,0.19591200687902205,0.20885166241067388,,0.2771214511983964
2010-07-20,0.19580256699195636,0.20952256348006124,,0.277079446602268
2010-07-21,0.19662756407625534,0.2098732545983308,,0.2761936134262206
2010-07-22,0.1981956842132729,0.21199779891889464,0.22268387484433572,0.2789150298775585
2010-07-23,0.19813411772593528,0.2123186274885648,0.2251016702676834,0.2786247982103551
2010-07-26,0.19694629269286662,0.2124380547536138,0.22481306426997988,0.2768449244564269
2010-07-27,0.1956484113619136,0.2119330427533327,0.2241084835918182,0.27597224367313283
2010-07-28,0.19584871573776755,0.21044415047355167,0.2262151376797519,0.2756391591555089
2010-07-29,0.19549999406932092,0.2081328225444187,0.22608163589920885,0.2753042813629265
2010-07-30,0.19605809880001804,0.20802841381625287,0.22665759010696998,0.27520269541998343
2010-08-02,0.19876439995470221,0.21022293792639857,0.22648153399023735,0.2772958799285422
2010-08-03,0.1977156257471608,0.21022880757000947,0.2272755479408717,0.2760057766385688
2010-08-04,0.19743961391875284,0.20970334337177443,0.22842441467791094,0.2753442309481515
2010-08-05,0.19692853597383697,0.20922237972268537,0.22702826196342682,0.2752738424701423
2010-08-06,0.19693303652509367,0.20835372574017874,0.22682020036731584,0.27551462365490237
2010-08-09,0.1977738698647182,0.2077003534251238,0.2256537088909314,0.2761745947105356
2010-08-10,0.19543660071376037,0.2077282715867387,0.22546597618981923,0.27179806274446233
2010-08-11,0.19740563155094096,0.20683220894098545,0.22751268686123405,0.27159838130742514
2010-08-12,0.19730161688341719,0.20693737203654128,0.2259599518840091,0.27112397931760157
2010-08-13,0.19725242388029338,0.20662840395322613,0.2260645392152782,0.2712233621027171
2010-08-16,0.19718978195050302,0.20580889120301385,0.22493929774477955,0.27083811866777097
2010-08-17,0.19798724805894274,0.20650069137576235,0.22491027917202713,0.2713009475926501
2010-08-18,0.19835061604311693,0.2060608956234549,0.2252301473530602,0.2713307967332902
2010-08-19,0.19984780807626412,0.20743924098146663,0.22234308663348365,0.27286499596487196
2010-08-20,0.19883527025912678,0.20740704727641096,0.22357723348834285,0.2727708008747403
2010-08-23,0.19893077706331685,0.2072553149940177,0.22375261340090613,0.27209667248218855
2010-08-24,0.19967971712161978,0.2082166426995115,0.22443983254213895,0.2731521471060602
2010-08-25,0.19988319014199174,0.2082791149628872,0.22537620055615554,0.2734549044002191
2010-08-26,0.2003028767977172,0.20786368052374443,0.22559629075477144,0.2735456500100472
2010-08-27,0.20046036172201664,0.20873959510117804,0.2226579935205423,0.27269890144903985
2010-08-30,,0.20973922348127744,0.22408950375990314,0.2728065183484574
2010-08-31,,0.20972687036774806,0.2279152206534415,0.27148489034944473
2010-09-01,0.20384644980278424,0.2133233229582082,0.2251597504665825,0.2748536089617706
2010-09-02,0.203082913359333,0.21369603611645233,0.2262255435179311,0.27396534588787663
2010-09-03,0.20262757345333254,0.2145214483447223,0.2254955575835475,0.2741657870860413
2010-09-06,0.2022113311554067,,0.22705312586945509,0.2738930503120853
2010-09-07,0.2013742453872266,,0.2272857361658475,0.2742374237828911
2010-09-08,0.20105949594461547,0.21465110602636173,0.22922191211023932,0.2728801200521713
2010-09-09,0.20174371292876506,0.2138428558665219,0.2294264577431621,0.27327603894966096
2010-09-10,0.2009078668493165,0.2139583909290929,0.2304793135069528,0.2732802328155145
2010-09-13,0.20156203604094705,0.2145249126370535,0.23041483658359324,0.27320826523244723
2010-09-14,0.20155834731549094,0.21443019842646194,0.228262226326601,0.27311387120156544
2010-09-15,0.20135526354434857,0.2144122297692937,,0.2731935059910972
2010-09-16,0.20130796021857078,0.21441255964308112,,0.2728792142308429
2010-09-17,0.2014620847071369,0.2144149911885875,0.22697682739822111,0.27272981483397524
2010-09-20,0.2027113812739425,0.21520392458668616,,0.27341756383291843
2010-09-21,0.202723004663357,0.21507498349102092,,0.2733089262447629
2010-09-22,0.20273144147821984,0.2151809095951835,0.22701437385427034,0.2740538586303117
2010-09-23,0.20273466893796604,0.21538361231172146,,0.27413292462844097
2010-09-24,0.2031441104557811,0.21732101708568285,,0.27534563830780967
2010-09-27,0.20324192624474458,0.21722870856163207,0.22792806733965532,0.27546162445076167
2010-09-28,0.20311650320270583,0.2172017735031003,0.22797595238484275,0.27465210583657096
2010-09-29,0.20312725661047923,0.21721929128054288,0.22787738512446565,0.2748658927734477
2010-09-30,0.20281205412803113,0.21725976528948993,0.2295166127013684,0.27486135454495064
2010-10-01,0.2030387548903867,0.217200194060183,0.2295899689440152,0.2749463950469965
2010-10-04,0.2032450272910376,0.21749503094713643,0.22891696865614922,0.27542076408446337
2010-10-05,0.20402118054060345,0.21941907090823456,0.22962450454323377,0.27610689141147177
2010-10-06,0.20432458655220087,0.21917279165711842,0.23085706632359657,0.2762289127055066
2010-10-07,0.2037513073183009,0.21917187521238587,0.23077075141240758,0.2757991725474016
2010-10-08,0.203703424604437,0.21918101306012303,0.23112544534171364,0.27472868123134164
2010-10-11,0.20335809113884362,0.21913060065159665,,0.27470728852372717
2010-10-12,0.2028769853227465,0.21899410384400836,,0.2747198904358446
2010-10-13,0.2039759626562555,0.2192093254086474,0.2300073537526281,0.27649230851185513
2010-10-14,0.2040004255590585,0.2192702069136646,0.23171163279470675,0.2764968270577911
2010-10-15,0.20392106396775334,0.2187226098044864,0.23147658321707484,0.2748329546485142
2010-10-18,0.20402953832278842,0.21896031000857255,0.23147838887169692,0.274814447832938
2010-10-19,0.20327521422999972,0.21892265913639147,0.2306497055177619,0.27414288673741066
2010-10-20,0.2033180737429102,0.2193313779402727,0.23162296387833836,0.27364339546706007
2010-10-21,0.20298705433396586,0.2190514527120806,0.23147673387085563,0.27288381462099487
2010-10-22,0.20246646107676944,0.21907221165763693,0.23158996419169486,0.2727746953232519
2010-10-25,0.20193066337396537,0.21906988352143064,0.23158418719223584,0.27245560087505927
2010-10-26,0.20175576942544118,0.21883829356200432,0.23115424440636326,0.26718975794959526
2010-10-27,0.20221905696711973,0.21878656707390876,0.23109357659783833,0.26627633463731737
2010-10-28,0.1987918679498037,0.2161775521676073,0.2309771032446106,0.2656925424140275
2010-10-29,0.19873840405655743,0.21599512345169788,0.23195048918745595,0.265611646430191
2010-11-01,0.19864724019603802,0.2152356226141064,0.2319067176685197,0.26565885322345106
2010-11-02,0.19848822267609206,0.21416181624694297,0.23168396126382734,0.2596994429226918
2010-11-03,0.19759312036972895,0.21344150188959074,,0.2597037489673823
2010-11-04,0.1981070405757261,0.2122773284992872,,0.258080520641426
2010-11-05,0.19421181824164,0.21208839723666242,0.23451052699353897,0.25007988487795174
2010-11-08,0.181227061084584,0.20669372475470105,0.23390902468924865,0.20872287387879
2010-11-09,0.18066841940479844,0.20578849154642118,0.23395411523250778,0.20832297741151629
2010-11-10,0.18089924103954666,0.19689624253803484,0.2334909503429959,0.2090321650552227
2010-11-11,0.18048098522923242,0.19693448032551245,0.2329223502843,0.20920766439683233
2010-11-12,0.1745306337345059,0.19682696165166833,0.233657246615817,0.2067498385902444
2010-11-15,0.17458770555067318,0.19602150943141278,0.23180885452377883,0.20254739508166156
2010-11-16,0.17774602834594094,0.1955285557512434,0.23172071194311722,0.20353701398220733
2010-11-17,0.17285874071404972,0.19552684752024685,0.22895418750898025,0.20374725960820028
2010-11-18,0.17195963219987917,0.1954909532778562,0.22662228673956894,0.20405968592175597
2010-11-19,0.17221401470586098,0.19532929158153964,0.22545755136675888,0.19843388409464127
2010-11-22,0.17280446900107238,0.18662995190019513,0.22530608164620677,0.1992227645059103
2010-11-23,0.1706547521660502,0.1868486620379592,,0.2027118494489543
2010-11-24,0.1695423285888737,0.1868372710460804,,0.20289690666939644
2010-11-25,0.16441146651861305,,0.2254133541720754,0.20289366544968762
2010-11-26,0.1646093129731184,,0.22333970548894785,0.20274890298750634
2010-11-29,0.1673926499228297,0.18686653965197877,0.22271077394851926,0.20097700196307053
2010-11-30,0.16678113753997362,0.18689729559797424,0.22214723782304957,0.20079093308937795
2010-12-01,0.16740572614958069,0.18381339492353313,0.22226903487854227,0.20380179880887628
2010-12-02,0.16919972186059418,0.18356127585856766,0.22358650340824926,0.20447318255667582
2010-12-03,0.1688471386469671,0.18026161255222592,0.22248519589003216,0.20257705868708048
2010-12-06,0.16826538414487044,0.1802364825875716,0.2196180828089101,0.2021145040420608
2010-12-07,0.1680566090227546,0.17280099516500208,0.21961525950137847,0.20138648289612712
2010-12-08,0.16796395358500388,0.1715343410475144,0.21530536469468864,0.20083210124413411
2010-12-09,0.16771921764635978,0.17102977016579923,0.21523744237944406,0.20110276093474913
2010-12-10,0.16769056728317228,0.17084260474571025,0.21489648032040456,0.20105692985096135
2010-12-13,0.16796081845808472,0.16622701449730254,0.21446203395107238,0.2011513166644988
2010-12-14,0.16804357763816705,0.16616422795266678,0.2144755657844339,0.20055638103860604
2010-12-15,0.1680652930801961,0.1663494571402414,0.21429078482593442,0.2004637088530308
2010-12-16,0.16765496055164236,0.16350189233367562,0.21362925651500214,0.19926569720426168
2010-12-17,0.1669995620280956,0.16348757155461274,0.20895228061100496,0.19705165178311343
2010-12-20,0.16583776847693088,0.16350203734576738,0.2093197944069527,0.19698575606118837
2010-12-21,0.16471502515899575,0.16365573038628028,0.20260942587509223,0.19675633524416528
2010-12-22,0.16395659193753323,0.16353969178686262,0.2026512047879781,0.1867475059333723
2010-12-23,0.1638773847216905,0.16172352133605045,,0.186608227641102
2010-12-24,0.1570505728506067,,,
2010-12-27,,,0.20224270196003702,
2010-12-28,,0.16161451149695172,0.20197579868402932,0.18389234336136615
2010-12-29,,0.15952480442754294,0.20075673105797148,0.18402519934663236
2010-12-30,0.15725899272083146,0.15956242020020606,0.19995026585087824,0.18471503351043622
2010-12-31,0.1545897931792478,0.15950509615138206,,
2011-01-03,,0.15307925719192275,,
2011-01-04,,0.15220654486630103,,0.18070630207465552
2011-01-05,0.15449461287965008,0.15210608171316756,0.1999712882050557,0.1784133196342045
2011-01-06,0.15456300489486532,0.15192912691591748,0.19938142181835317,0.17766051278240352
2011-01-07,0.14992282056153208,0.14627754467447135,0.19912451887923988,0.17812197085978435
2011-01-10,0.14964783223906877,0.1459142062106919,,0.17979866242960998
2011-01-11,0.14823256123140657,0.14572482857631477,,0.17871415963964063
2011-01-12,0.14827818745926638,0.14610504836961938,0.1991209134059332,0.18332595448974173
2011-01-13,0.14827807169716598,0.1448580494398264,0.1965158027035815,0.1830820350918846
2011-01-14,0.14595478759967176,0.14508426807700658,0.1961072719325888,0.18037823117685
2011-01-17,0.14592308879383026,,0.19418349140059923,0.18033644432800672
2011-01-18,0.14616797690575833,,0.19418909449987182,0.180947991879643
2011-01-19,0.14671650183817253,0.14601382969099752,0.19214945309425344,0.1812543618691593
2011-01-20,0.14919431924964516,0.1393985846326775,0.19277379133955497,0.17709902092714197
2011-01-21,0.14925313119346897,0.1392646871986789,0.1932277704359892,0.1781978487047208
2011-01-24,0.14834375190091062,0.13869982762130537,0.191210527490072,0.17785372276735026
2011-01-25,0.14629421595820077,0.13718026441804296,0.18934554626205596,0.17774729699360672
2011-01-26,0.1467225734701758,0.13404592849496516,0.1896082526094004,0.177775768866871
2011-01-27,0.14644581969981346,0.13371011576999894,0.18964204335301327,0.17786916879001233
2011-01-28,0.14790666175816264,0.13578677726717248,0.19020473378367297,0.1786524148253808
