Index,Forecast Start,Forecast End,Observations,Mean Forecast Volatility,Mean Realized Absolute Return,Volatility RMSE
^FTSE_log_return,2022-01-05,2026-05-27,1082,0.008109501055638292,0.005609007462014856,0.00854364992635902
^GSPC_log_return,2022-01-03,2026-05-27,1062,0.010437114662020274,0.007840387677281069,0.011368076750875202
^N225_log_return,2022-01-05,2026-05-27,1014,0.013014446720199828,0.009848129237779554,0.013947640027352888
^STOXX50E_log_return,2022-01-04,2026-05-27,1071,0.010992113696355617,0.007955752883272285,0.011584739219135368
