Date,forecast_volatility,realized_variance
2022-01-05,1.126491490949768,0.010732048846654471
2022-01-06,1.0624713002344788,8.530008253760442
2022-01-07,1.4692312094301718,0.0010680464735956488
2022-01-12,1.3717988941101091,3.63416266910216
2022-01-13,1.439198971237863,0.9330939561069573
2022-01-14,1.3951560383292194,1.6613678656289734
2022-01-17,1.392853562957478,0.5494225496955344
2022-01-18,1.323831087884954,0.07265599798750948
2022-01-19,1.2468853481036133,8.040846850198681
2022-01-20,1.5643535793458434,1.2250326333711348
2022-01-21,1.5030912751448597,0.8220451890920254
2022-01-24,1.4458156244910492,0.057559336153239694
2022-01-25,1.352334868861604,2.79049155269658
2022-01-26,1.4107077032456292,0.19652384501778697
2022-01-27,1.3324475455825042,10.005328558035947
2022-01-28,1.6983399372922694,4.2797584749872595
2022-01-31,1.7322365242129498,1.1230545991651226
2022-02-01,1.6477682396589484,0.08003918760993647
2022-02-02,1.5357676330152925,2.778131920322511
2022-02-03,1.539624303963518,1.139016503081999
2022-02-04,1.4928845413016563,0.5280719212403735
2022-02-07,1.412744170447593,0.48852077850055664
2022-02-08,1.3499905598636381,0.01709478842422728
2022-02-09,1.2646112526444835,1.1592045967503841
2022-02-10,1.239235768938628,0.1768002448780809
2022-02-15,1.170593073521751,0.6318541876550939
2022-02-16,1.146020313169739,4.802060798277449
2022-02-17,1.315885625534124,0.6922760955720724
2022-02-18,1.2759195515950221,0.16620860171905455
2022-02-21,1.210765158377839,0.611138823084309
2022-02-22,1.1797643261544917,2.9890511255257293
2022-02-25,1.2826291833205696,3.7187014921079036
2022-02-28,1.3705533125338014,0.036052946073352465
2022-03-01,1.2844957037932982,1.4191650316796591
2022-03-02,1.2685681941614453,2.8795531872272684
2022-03-03,1.347082430500629,0.48391334942352227
2022-03-04,1.2814270806064159,5.070945004152419
2022-03-07,1.458465475472231,8.906834084883094
2022-03-08,1.7446083858526293,2.963427105293088
2022-03-09,1.7445115818361172,0.08796892895984681
2022-03-10,1.6266912931195807,14.903241290573721
2022-03-11,2.0296589290889817,4.306249944362337
2022-03-14,2.0333210319796335,0.3304776118953883
2022-03-15,1.8912878972954879,0.023264608397136025
2022-03-16,1.754971878984441,2.6442123231130705
2022-03-17,1.721984330630802,11.557751970800425
2022-03-18,1.9922137892608236,0.42604978798118576
2022-03-23,1.8580580328919332,8.723055375724103
2022-03-24,2.007497226035839,0.06257538599684345
2022-03-25,1.8617882320309858,0.019666810522114612
2022-03-28,1.728685906273937,0.5392070292522383
2022-03-29,1.6334839185723022,1.2057185145387184
2022-03-30,1.5634481520019758,0.640298223558137
2022-03-31,1.490536319141037,0.5432685561414554
2022-04-01,1.420974314565331,0.3139427379396348
