Date,forecast_volatility,realized_volatility
2022-01-05,0.7742252858792725,0.02426324243335708
2022-01-06,0.7343730759881709,0.7896271665942634
2022-01-07,0.772122390439287,0.21840312552430172
2022-01-10,0.7474137841529773,0.28709627228891454
2022-01-11,0.7384011820639979,0.38102821860649067
2022-01-12,0.7308848563843223,0.6427303340737162
2022-01-13,0.7453834785472853,0.026056027007138986
2022-01-14,0.7093605152952336,0.07655937087288894
2022-01-17,0.6849611947084218,0.8101604753523307
2022-01-18,0.7212740501834066,0.39357958098215773
2022-01-19,0.7258782985203631,0.11866718914451893
2022-01-20,0.6989708663297197,0.0038375282903176516
2022-01-21,0.6675383787048982,1.4536053000387652
2022-01-24,0.7751876815044179,7.089075386193291
2022-01-25,1.2068114509266898,1.026264955711724
2022-01-26,1.1772576803606816,1.754826266890919
2022-01-27,1.1904230673256384,1.2653354029451211
2022-01-28,1.1754926874853886,1.3792445252719563
2022-01-31,1.178820350438213,0.0005186912483141368
2022-02-01,1.0992371175076092,0.9062910778951686
2022-02-02,1.0771549071808384,0.38986636781671935
2022-02-03,1.0283963036572243,0.5145564609287312
2022-02-04,0.999862829715007,0.02717069854218172
2022-02-07,0.9400944196724326,0.572750030742707
2022-02-08,0.9189418216075926,0.007146946971803567
2022-02-09,0.8650018382412022,1.0065309843226924
2022-02-10,0.8840579524565203,0.14340941466255858
2022-02-11,0.8409843173539285,0.022109834336081494
2022-02-14,0.7962287520598268,2.9019149511880737
2022-02-15,0.9745348610395863,1.042662841563414
2022-02-16,0.9782262662697621,0.00449577349727379
2022-02-17,0.9189122263739851,0.7692718939723318
2022-02-18,0.9230469578553441,0.10001768308509433
2022-02-21,0.8773193355373519,0.15266663053701984
2022-02-22,0.8407536603848984,0.017475440462728295
2022-02-23,0.7945601791846506,0.0028473289936562047
2022-02-24,0.7520921015421518,15.689712588823728
2022-02-25,1.5761375847947634,14.783458778673678
2022-02-28,2.0054949215182343,0.1742694789424075
2022-03-01,1.858397536379931,3.0014359190230753
2022-03-02,1.8345111359611759,1.814195459109213
2022-03-03,1.7618814196904187,6.761449297642561
2022-03-04,1.886636019651234,12.53417861453553
2022-03-07,2.17098574246529,0.15665550692124783
2022-03-08,2.0102056365165852,0.004366073507407155
2022-03-09,1.858636748803272,10.252904035599519
2022-03-10,2.0609878910169384,1.6436579439100696
2022-03-11,1.9637388765177073,0.6284131439757921
2022-03-14,1.8366383513959907,0.2790543922914891
