Date,Stock,Alpha,Beta,R_squared
2010-07-06,AAPL,0.002104863343638894,1.161173769432041,0.5482295594352238
2010-07-06,UNH,-8.97167255718578e-05,0.6710683166120825,0.23911316087762835
2010-07-06,JPM,-0.00027403714184707665,1.3030180432329639,0.6522519952772091
2010-07-06,GOOGL,-0.0021896726122446553,0.8752507456367555,0.4266171575034754
2010-07-06,AMZN,-0.0006761460939146678,1.02857545405171,0.34936038361274435
2010-07-06,UNP,0.0011864884815971852,1.1445813501248296,0.6384725483023436
2010-07-06,PG,0.0001972323244160648,0.4467668165551417,0.3911850510362199
2010-07-06,XOM,-0.0007768368677709894,0.8276620192134634,0.7194787815159369
2010-07-06,NEE,6.227615633494577e-05,0.6470083289040968,0.359566041584493
2010-07-06,LIN,0.0002878805019781484,0.833959600862939,0.6170334849242182
2010-07-07,AAPL,0.002146981994545071,1.1642438761157636,0.5617870451610608
2010-07-07,UNH,-0.0001515794606885158,0.6559634837913009,0.23920909478980568
2010-07-07,JPM,-0.0003238756544178817,1.3147760452419832,0.6695101850223082
2010-07-07,GOOGL,-0.0020935241554468705,0.8865068740802023,0.4446961277139243
2010-07-07,AMZN,-0.0007163320034338948,1.0263604062832001,0.35971169754394294
2010-07-07,UNP,0.0011468082147576494,1.1498844233994396,0.6529966166265766
2010-07-07,PG,0.00029667822337445845,0.46302461074476053,0.4161769978534594
2010-07-07,XOM,-0.0008684956658119397,0.8146070757188572,0.720746072079881
2010-07-07,NEE,0.00022189346331250967,0.6605896775625765,0.38194339352944917
2010-07-07,LIN,0.0005000836149263761,0.8446591479859031,0.6461874261731113
2010-07-08,AAPL,0.0021683360253810574,1.1575008512098865,0.5612849861951844
2010-07-08,UNH,-0.0001457181688744667,0.6603611214688937,0.24248234673254798
2010-07-08,JPM,-0.0004632928399995087,1.3085647474442723,0.6669393142852463
2010-07-08,GOOGL,-0.00184448954652993,0.8912337718166513,0.454783806776761
2010-07-08,AMZN,-0.00044959215621055487,1.0345250267464956,0.36514298343169704
2010-07-08,UNP,0.0011239066110583548,1.1483328799360129,0.6533377929186732
2010-07-08,PG,0.0004501828225072928,0.4698723205761158,0.4186498291042191
2010-07-08,XOM,-0.0009451511598313571,0.8138444731633976,0.7243352599230244
2010-07-08,NEE,0.00012610467318021026,0.6587895626910525,0.38304190218166123
2010-07-08,LIN,0.00048503563077087204,0.8470658846052879,0.6493579669946856
2010-07-09,AAPL,0.002200286926670645,1.1576107022192041,0.5624095870352541
2010-07-09,UNH,-0.000391469449454467,0.6545929262538629,0.2478289788713829
2010-07-09,JPM,-0.0005106687452848832,1.308634712785446,0.6691058417012796
2010-07-09,GOOGL,-0.0014890480338175067,0.9035593725806633,0.46563555931471223
2010-07-09,AMZN,-0.00026869565733904935,1.0395789899381043,0.3704495353582171
2010-07-09,UNP,0.0012578024008501796,1.1521692493935076,0.6586305342849266
2010-07-09,PG,0.00045520204335477434,0.4689183403222899,0.4184941010185229
2010-07-09,XOM,-0.0009454797930109356,0.8129826084226969,0.7242833012769097
2010-07-09,NEE,0.00019911792147370684,0.6612390224291783,0.38559459909771265
2010-07-09,LIN,0.00046674290396914495,0.8460169415997671,0.6488972438110088
2010-07-12,AAPL,0.0021007222582010857,1.1569704898435098,0.5604384978551467
2010-07-12,UNH,-0.0002838494042307661,0.6566130548469309,0.249693338062988
2010-07-12,JPM,-0.0003934105391920021,1.3100945585427073,0.6691106933768558
2010-07-12,GOOGL,-0.0014344218032239378,0.9023802725815167,0.462218135795732
2010-07-12,AMZN,-0.0003102188752238318,1.0363321432152686,0.37016190186406517
2010-07-12,UNP,0.0011204405186116349,1.14775965513664,0.6676719135814031
2010-07-12,PG,0.0005195996088728293,0.46970476870826267,0.4187637218061848
2010-07-12,XOM,-0.0008743971256091136,0.8141137384013369,0.7256232496614963
2010-07-12,NEE,0.0003567210394463731,0.6635283275908792,0.38789636951279083
2010-07-12,LIN,0.0004491988740522855,0.8455058506420907,0.6487543170329606
2010-07-13,AAPL,0.0018698093035839183,1.1288023359452246,0.5348985418422033
2010-07-13,UNH,-0.00038321784784301036,0.6516771181688881,0.24890203491862806
2010-07-13,JPM,-0.00024580326826009345,1.3200910781704112,0.6729741265921976
2010-07-13,GOOGL,-0.0012951129622861155,0.9138073665800874,0.468163277410917
2010-07-13,AMZN,4.6148882352549673e-05,1.0519568383485416,0.3814449466002445
2010-07-13,UNP,0.0010178206083046807,1.1328869293756236,0.6581806281145715
2010-07-13,PG,0.0005380663305995354,0.46811153959348617,0.42046826175118035
2010-07-13,XOM,-0.000987940078095678,0.8109711665944509,0.7304258070507087
2010-07-13,NEE,0.0003467608946151674,0.6613733912648639,0.3888378351469435
2010-07-13,LIN,0.0004776427133688501,0.8528997236008129,0.6534443186456425
2010-07-14,AAPL,0.0019065159570403531,1.1276384505212467,0.5334528576073261
2010-07-14,UNH,-0.00017499927265686812,0.643111556443628,0.24573032055308708
2010-07-14,JPM,-0.00018329423900876137,1.3154479741611995,0.671890214906814
2010-07-14,GOOGL,-0.0011874735299809956,0.9104383300217413,0.4657243705021813
2010-07-14,AMZN,0.00012611774864878888,1.0463892120123814,0.37901163832709905
2010-07-14,UNP,0.0009751015802154594,1.135718684824696,0.6590919837625517
2010-07-14,PG,0.0004480056139457477,0.47468515873241884,0.43481961624254895
2010-07-14,XOM,-0.0010290329551251242,0.8125025408073665,0.7307904008170846
