,mu,omega,alpha[1],beta[1],nu,sum of parameters
^FTSE_log_return,0.047650182601639154,0.040982568149991155,0.15358358097571528,0.8064298714521426,5.745492061707048,0.9600134524278578
^GSPC_log_return,0.09893188578447841,0.026354681762400415,0.16662926405030265,0.8220011426651651,5.418490736631809,0.9886304067154678
^N225_log_return,0.08258628953585576,0.0860960082156441,0.1339790301075626,0.8209537643804105,6.128228640757946,0.9549327944879731
^STOXX50E_log_return,0.07504732214175636,0.04236442178728329,0.13199401926181697,0.8483306575463702,5.452677104528492,0.9803246768081871
