,^FTSE_log_return,^GSPC_log_return,^N225_log_return,^STOXX50E_log_return
^FTSE_log_return,1.0,0.8856973714937711,0.4354422457434258,0.9338131396486467
^GSPC_log_return,0.8856973714937711,1.0,0.39438972091564783,0.8229519764555393
^N225_log_return,0.4354422457434258,0.39438972091564783,1.0,0.434242611389608
^STOXX50E_log_return,0.9338131396486467,0.8229519764555393,0.434242611389608,1.0
