,mu,omega,alpha[1],beta[1],sum of parameters
^FTSE_log_return,0.03935662060905798,0.04953911111337554,0.1609743489868688,0.7850446782589304,0.9460190272457992
^GSPC_log_return,0.08384580318177945,0.038044982934615876,0.16475263861912226,0.8030066476419653,0.9677592862610875
^N225_log_return,0.06997576115777905,0.0918946592745765,0.14809155287983658,0.8042491331575217,0.9523406860373582
^STOXX50E_log_return,0.06456304025333572,0.05634060922908392,0.13597340426703136,0.8301800567597618,0.9661534610267932
