Date,forecast_volatility,realized_variance
2022-01-04,1.1378301330187972,0.677416027198357
2022-01-05,1.105159057407976,0.31366375846101546
2022-01-06,1.0561707881814386,2.3872141314955675
2022-01-07,1.154107077947676,0.1934491815541911
2022-01-10,1.1024399194680075,2.408665701761002
2022-01-11,1.1902478533308,0.9727299309389936
2022-01-12,1.167285898200131,0.657180879431883
2022-01-13,1.1308593268844669,0.0001290076503655541
2022-01-14,1.0667197486533195,1.0361799151995827
2022-01-17,1.0796148988951222,0.48804789663229675
2022-01-18,1.0437679932951662,1.0723336004596773
2022-01-19,1.0622739140892798,0.06020322385282212
2022-01-20,1.0057026841220231,0.5348587313249686
2022-01-21,0.9807069374174743,2.6982354605874654
2022-01-24,1.111000195878744,17.89722401668263
2022-01-25,1.857975812669559,0.34545682063757704
2022-01-26,1.7425326982645497,4.38895242222565
2022-01-27,1.7839931710144914,0.2380786860071609
2022-01-28,1.6725725184118327,1.3341212539919272
2022-01-31,1.6241650160736687,0.8225399105840386
2022-02-01,1.5489987336667554,1.4091001265997574
2022-02-02,1.504411795398332,0.0032305040194765804
2022-02-03,1.4107576507084587,3.755304016986154
2022-02-04,1.503494355477241,1.751304309825069
2022-02-07,1.493406039623762,0.6856895111415782
2022-02-08,1.4257271282543162,0.04438192239359709
2022-02-09,1.3386969968189786,3.2263457140330294
2022-02-10,1.3990073004598667,0.027929191050181795
2022-02-11,1.315943812976655,1.0037723191930092
2022-02-14,1.2938045057504137,4.879396745477573
2022-02-15,1.4599209366468744,3.729955190180978
2022-02-16,1.5204119559712392,0.024567294678491988
2022-02-17,1.4274437512742824,0.3393351075709191
2022-02-18,1.3594371819383526,0.9034156087033451
2022-02-21,1.327035064590777,4.830587020864451
2022-02-22,1.4826959135613174,3.625783818100585e-05
2022-02-23,1.391129674562885,0.09184501537942162
2022-02-24,1.3132322224023831,13.649498975779265
2022-02-25,1.8144862930111592,13.148202884610962
2022-02-28,2.1201344270706532,1.3852630179428524
2022-03-01,2.027111416286948,16.97153536331341
2022-03-02,2.4169614617254354,2.082612260254814
2022-03-03,2.304579175841897,4.344490783704272
2022-03-04,2.283042580358354,25.93081586586753
2022-03-07,2.8276197654031874,1.5353253684250792
2022-03-08,2.6710044174858716,0.03900785712998
2022-03-09,2.48710687094443,51.474137468063155
2022-03-10,3.458905031627755,9.55481172155656
2022-03-11,3.413873452335603,0.9303699577844571
2022-03-14,3.1875322767213636,2.1392735353400734
2022-03-15,3.0062271091069945,0.006392755560452431
2022-03-16,2.7971706772534954,15.800055018418984
2022-03-17,2.9601122743715065,0.012635598257851247
2022-03-18,2.755114461238329,0.19330244655697143
2022-03-21,2.5681650911091416,0.28121886971347937
2022-03-22,2.4008090703661797,1.2888412727078205
2022-03-23,2.2683160752629448,2.131238498318007
2022-03-24,2.1838098403897037,0.022738232702312993
2022-03-25,2.03431457429762,0.01260585528500958
2022-03-28,1.8925865137397793,0.24956387587601528
2022-03-29,1.7668710754310142,8.51226846815105
2022-03-30,1.9518008862383331,1.1690783696717546
2022-03-31,1.8666970309592419,2.07483844442251
2022-04-01,1.825254759603054,0.1707624740591007
2022-04-04,1.7061297435637282,0.6796795038586747
2022-04-05,1.614595767594215,0.7150484601746916
2022-04-06,1.5431951113044602,5.79155796478459
2022-04-07,1.7019942120481333,0.3537306667041403
2022-04-08,1.6075284464864392,2.165302845683068
2022-04-11,1.586075865274795,0.2373064494438792
2022-04-12,1.4959316242748444,0.04515199884925905
2022-04-13,1.4021497667069813,0.008400087432864611
2022-04-14,1.312478780874381,0.29140569667288413
2022-04-20,1.2403728676251062,2.9224125674056585
2022-04-21,1.3106342840400187,0.6367642034995855
