Index,Normal AIC,Normal BIC,Student-t AIC,Student-t BIC
^FTSE_log_return,10071.598373708552,10096.82327457268,9859.610116223566,9891.141242303727
^GSPC_log_return,10267.41617780238,10292.576344277199,10029.578787280781,10061.028995374303
^N225_log_return,12228.41264996131,12253.38788365597,12048.04186291077,12079.260905029096
^STOXX50E_log_return,12090.68062387099,12115.855822306377,11850.515474340638,11881.984472384873
