AAPL,AMZN,GOOGL,JPM,LIN,NEE,PG,UNH,UNP,XOM,Market_Return,Risk_Free_Rate
0.001728691444453423,0.0058998892697967875,-0.004403762325577931,0.019370254930986874,-0.018636768844440876,-0.009764780717747223,0.00032745397281774835,-0.0015856483778811103,0.01391636332408197,0.0039046165770528773,0.002647099073267878,2.380952327733948e-06
-0.015905956733250015,-0.018115634693665172,-0.025208632561920075,0.005494243741214877,0.008870701281503468,0.009861071922714348,-0.004743405951607715,0.009847791629654878,0.0015085023901280081,0.00864322231154202,0.0007038858735739506,1.7857143566721963e-06
-0.0018490242157902514,-0.0170132608680289,-0.023279604075603144,0.019808742360334808,0.0026001425333701533,-0.002816557946717091,-0.0054232197153892825,0.038376442565624114,-0.008886163637205069,-0.0031423046123341125,0.004220882635251222,1.7857143566721963e-06
0.006648246967059901,0.027076941270094634,0.013331201624238176,-0.0024559126543994836,0.006547023725588685,-0.008662832975587786,-0.0013218857410848273,-0.009390903826629327,0.033886050877701024,-0.004011264319541796,0.003328313137358263,1.5873015518226319e-06
-0.00882135160175379,-0.024041349123433142,-0.0015114984168901335,-0.003357128626539807,0.009448891035043427,-0.0007601810797177588,-0.00397090630768171,0.006727793583143127,-0.00661366816272424,0.011219743812891814,0.0013963105681638055,9.920635068463902e-07
-0.011374964126598885,-0.022715100723843973,-0.017683982077974614,-0.023355404491508858,-0.010697849747200894,-0.024334635385128478,0.01146193357933889,-0.026427906530454237,-0.0029595825208541537,-0.004978766628752518,-0.009325856437340074,1.5873015518226319e-06
0.014105268270849791,0.013820227706130561,-0.005741249002281568,0.017475411496339133,0.017694736161444125,0.003507549502601792,0.010346277313323604,0.015288863837066291,0.0011873952268814936,-0.004002762640775148,0.008446014442176963,1.9841270136927804e-06
-0.0057913628627515035,-0.013631832674516842,0.004701383234464451,0.009943664801453922,-0.0218544904443726,-0.028931823179831007,0.0009758747036539006,0.023970558303681333,-0.016155514639053292,0.00014347642574663588,0.00270493344774847,1.7857143566721963e-06
-0.016712221550993722,-0.001648991677534517,-0.01669925159435759,-0.02259986677962378,-0.0006177102099459431,0.010797241737119379,-0.012342494985630115,0.012904764387278167,-0.012201969912598143,-0.008180001068373799,-0.011224478207930377,2.182539670713364e-06
0.04423873289820768,0.0036967069581697043,0.013137889608974218,-0.00915775661131446,0.001482601145327278,0.006726152025976262,0.01479849972747993,0.040889398757072204,-0.0007630194315835226,0.002315035283900757,0.012495835514089837,1.9841270136927804e-06
-0.015392672900316984,-0.014340538789756496,-0.01226995549896659,0.002773179628839051,-0.004069966334056985,-0.017881583787964228,-0.013544732478762311,-0.016510532835236846,-0.02731999451738998,-0.017901096079854684,-0.010169178800926604,1.9841270136927804e-06
-0.017286289011779865,0.006678298086381096,0.004428061282652163,-0.0658989110698861,-0.015479701835598658,-0.019006937851260064,-0.010091089663308739,-0.04196816167111572,0.02698896711560561,-0.01955021542084112,-0.019228518909834236,1.5873015518226319e-06
-0.04959864591276597,-0.040988790522968555,-0.05655424959976585,-0.03404043723716188,-0.01584908347674374,-0.018152597627913214,0.007854419558077863,0.0018130317350526504,-0.024446108436536385,-0.008995270000503375,-0.02229196070281858,1.7857143566721963e-06
